전국순위,기초,sido,인구,자연휴양림_개소,자연휴양림_수용인원,국립휴양림_개소,국립휴양림_연이용자,치유의숲_개소,치유의숲_면적ha,유아숲체험원_개소,수목원_개소,산림교육센터_개소,휴양림수용_10만명당,치유의숲ha_10만명당,유아숲_10만명당,수목원_10만명당,산림교육센터_10만명당,국립휴양림이용_천명당,접근성_상대_0to100,종합공급점수,시도_미충족잠재수요율,z_수요격차,z_공급부족,우선확충지수,우선확충지수_0100,등급,유형
119,부산 사하구,부산,292491.0,0.0,0.0,0.0,0.0,1.0,62.0,1,0,0,0.0,21.197,0.342,0.0,0.0,0.0,65.8,-0.269,39.912,-0.571,0.442,0.042,66.9,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
120,충북 음성군,충북,91236.0,2.0,301.0,0.0,0.0,0.0,0.0,1,0,0,329.914,0.0,1.096,0.0,0.0,0.0,81.9,-0.082,47.053,-0.15,0.135,0.03,66.7,2순위(검토),D. 공급보유·수요低 → 유지
121,경기 양주시,경기,289005.0,2.0,800.0,1.0,57957.0,0.0,0.0,6,1,0,276.812,0.0,2.076,0.346,0.0,200.54,68.6,0.231,58.621,0.532,-0.379,-0.007,66.2,2순위(검토),C. 공급보유·수요高 → 접근성/연계
122,부산 서구,부산,103188.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2.907,0.0,0.0,0.0,62.8,-0.234,39.912,-0.571,0.384,-0.016,66.0,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
123,대전 유성구,대전,369468.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1,0.0,0.0,1.624,0.0,0.271,0.0,80.4,-0.154,42.757,-0.404,0.253,-0.03,65.8,2순위(검토),D. 공급보유·수요低 → 유지
123,부산 기장군,부산,175626.0,0.0,0.0,1.0,51662.0,1.0,153.0,0,0,0,0.0,87.117,0.0,0.0,0.0,294.159,68.9,-0.226,39.912,-0.571,0.372,-0.028,65.8,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
125,부산 금정구,부산,209932.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.476,0.0,0.476,0.0,61.7,-0.209,39.912,-0.571,0.343,-0.057,65.4,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
126,대전 중구,대전,225008.0,0.0,0.0,0.0,0.0,1.0,172.0,1,0,0,0.0,76.442,0.444,0.0,0.0,0.0,94.1,-0.12,42.757,-0.404,0.198,-0.085,65.0,2순위(검토),D. 공급보유·수요低 → 유지
127,경남 밀양시,경남,100691.0,2.0,400.0,0.0,0.0,0.0,0.0,0,0,0,397.255,0.0,0.0,0.0,0.0,0.0,72.9,-0.31,34.859,-0.87,0.51,-0.099,64.8,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
127,경남 고성군,경남,48005.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2.083,0.0,0.0,0.0,68.0,-0.31,34.859,-0.87,0.51,-0.098,64.8,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
